index,citationStyle,total,percentage,notWorkingIndex,notWorkingCitationStyle
1166,psychiatry-and-clinical-neurosciences,633996,0.064,,
1167,psychosomatic-medicine,633996,0.064,,
1168,psychosomatics,633996,0.064,,
1169,public-health-nutrition,633996,0.064,,
1170,quaderni-degli-avogadro-colloquia,632243,0.064,,
1171,quaderni-materialisti,633996,0.064,,
1172,quaternary-international,633996,0.064,,
1173,r-and-d-management,633996,0.064,,
1174,radiochimica-acta,633996,0.064,,
1175,radiographics,633996,0.064,,
1176,radiography,633996,0.064,,
1177,radiologic-clinics-of-north-america,633996,0.064,,
1178,radiology,633996,0.064,,
1179,radiopaedia,633996,0.064,,
1180,raffles-bulletin-of-zoology,633996,0.064,,
1181,rapid-communications-in-mass-spectrometry,633996,0.064,,
1182,recent-patents-on-drug-delivery-and-formulation,633996,0.064,,
1183,recherches-en-sciences-de-gestion,633985,0.064,,
1184,religion-in-the-roman-empire,633996,0.064,,
1185,renewable-agriculture-and-food-systems,633996,0.064,,
1186,reports-of-practical-oncology-and-radiotherapy,633996,0.064,,
1187,reproduction-fertility-and-development,633996,0.064,,
1188,reproduction-in-domestic-animals,633996,0.064,,
1189,research-on-biomedical-engineering,633996,0.064,,
1190,resuscitation,633996,0.064,,
1191,reviews-of-modern-physics-with-titles,633996,0.064,,
1192,revista-argentina-de-antropologia-biologica,633996,0.064,,
1193,revista-brasileira-de-ciencia-do-solo,633996,0.064,,
1194,revista-chilena-de-derecho-y-tecnologia,633996,0.064,,
1195,revista-ciencias-tecnicas-agropecuarias,633996,0.064,,
1196,revista-da-sociedade-brasileira-de-medicina-tropical,633996,0.064,,
1197,revista-de-biologia-tropical,633996,0.064,,
1198,revista-de-filologia-espanola,633996,0.064,,
1199,revista-fave-seccion-ciencias-agrarias,633996,0.064,,
1200,revista-latinoamericana-de-metalurgia-y-materiales,633996,0.064,,
1201,revista-latinoamericana-de-recursos-naturales,633996,0.064,,
1202,revista-noesis,633996,0.064,,
1203,revista-portuguesa-de-arqueologia,633996,0.064,,
1204,revista-virtual-de-quimica,633996,0.064,,
1205,revue-archeologique-du-centre-de-la-france,633996,0.064,,
1206,revue-archeologique,633996,0.064,,
1207,revue-d-elevage-et-de-medecine-veterinaire-des-pays-tropicaux,633996,0.064,,
1208,revue-de-medecine-veterinaire,633996,0.064,,
1209,revue-de-qumran,633996,0.064,,
1210,revue-des-nouvelles-technologies-de-l-information,633996,0.064,,
1211,revue-europeenne-des-migrations-internationales,633996,0.064,,
1212,revue-francaise-de-sociologie,633996,0.064,,
1213,risk-analysis,633996,0.064,,
1214,rofo,633996,0.064,,
1215,romanian-humanities,633996,0.064,,
1216,rose-school,633996,0.064,,
1217,royal-society-of-chemistry-with-titles,632245,0.064,,
1218,royal-society-of-chemistry,632245,0.064,,
1219,sage-harvard,633996,0.064,,
1220,sage-vancouver-brackets,633996,0.064,,
1221,sage-vancouver,633996,0.064,,
1222,scandinavian-journal-of-infectious-diseases,633996,0.064,,
1223,scandinavian-journal-of-medicine-and-science-in-sports,633996,0.064,,
1224,scandinavian-journal-of-rheumatology,633996,0.064,,
1225,scandinavian-journal-of-work-environment-and-health,633996,0.064,,
1226,science-and-technology-for-the-built-environment,633996,0.064,,
1227,science-china-life-sciences,633996,0.064,,
1228,science-translational-medicine,633996,0.064,,
1229,science-without-titles,633996,0.064,,
1230,science,633996,0.064,,
1231,scienceasia,633996,0.064,,
1232,scientia-agriculturae-bohemica,633996,0.064,,
1233,scientific-review-engineering-and-environmental-sciences,633996,0.064,,
1234,scrinium,633996,0.064,,
1235,seed-science-research,633996,0.064,,
1236,seminaire-saint-sulpice-ecole-theologie,633996,0.064,,
1237,seminars-in-pediatric-neurology,633996,0.064,,
1238,service-medical-de-l-assurance-maladie,633996,0.064,,
1239,sexual-development,633996,0.064,,
1240,sexual-health,633996,0.064,,
1241,sheffield-hallam-university-history,633996,0.064,,
1242,sist02,633996,0.064,,
1243,small,633996,0.064,,
1244,smithsonian-institution-scholarly-press-author-date,633996,0.064,,
1245,smithsonian-institution-scholarly-press-botany,633996,0.064,,
1246,smithsonian-institution-scholarly-press-note,633996,0.064,,
1247,social-cognitive-and-affective-neuroscience,633996,0.064,,
1248,sociedade-brasileira-de-computacao,633996,0.064,,
1249,societe-nationale-des-groupements-techniques-veterinaires,633996,0.064,,
1250,society-for-american-archaeology,633996,0.064,,
1251,society-for-historical-archaeology,633996,0.064,,
1252,society-for-laboratory-automation-and-screening,633996,0.064,,
1253,society-of-automotive-engineers-technical-papers-numeric,633996,0.064,,
1254,society-of-biblical-literature-fullnote-bibliography,633996,0.064,,
1255,socio-economic-review,633996,0.064,,
1256,sociology-of-health-and-illness,633996,0.064,,
1257,sodertorns-hogskola-harvard-ibid,633996,0.064,,
1258,sodertorns-hogskola-harvard,633996,0.064,,
1259,soil-biology-and-biochemistry,633996,0.064,,
1260,soil-science-and-plant-nutrition,633996,0.064,,
1261,solutions,633996,0.064,,
1262,south-african-journal-of-animal-science,633996,0.064,,
1263,south-african-journal-of-enology-and-viticulture,633996,0.064,,
1264,south-african-journal-of-geology,633996,0.064,,
1265,south-african-theological-seminary,633996,0.064,,
1266,soziale-welt,633996,0.064,,
1267,sozialpadagogisches-institut-berlin-walter-may,633996,0.064,,
1268,sozialwissenschaften-heilmann,633996,0.064,,
1269,soziologie,633996,0.064,,
1270,spandidos-publications,633996,0.064,,
1271,spectroscopy-letters,633996,0.064,,
1272,spine,633996,0.064,,
1273,spip-cite,633996,0.064,,
1274,springer-fachzeitschriften-medizin-psychologie,633996,0.064,,
1275,springer-humanities-author-date,633996,0.064,,
1276,springer-humanities-brackets,633996,0.064,,
1277,springer-lecture-notes-in-computer-science-alphabetical,633996,0.064,,
1278,springer-lecture-notes-in-computer-science,633996,0.064,,
1279,springer-mathphys-author-date,633996,0.064,,
1280,springer-mathphys-brackets,633996,0.064,,
1281,springer-physics-author-date,633996,0.064,,
1282,springer-physics-brackets,633996,0.064,,
1283,springer-socpsych-author-date,633996,0.064,,
1284,springer-socpsych-brackets,633996,0.064,,
1285,springer-vancouver-author-date,633996,0.064,,
1286,springer-vancouver-brackets,633996,0.064,,
1287,springer-vs-author-date,633996,0.064,,
1288,springerprotocols,633996,0.064,,
1289,st-patricks-college,633996,0.064,,
1290,statistika-statistics-and-economy-journal,633996,0.064,,
1291,stavebni-obzor,629430,0.063,,
1292,stem-cells-and-development,633996,0.064,,
1293,stem-cells,633996,0.064,,
1294,strategic-management-journal,633996,0.064,,
1295,stroke,633996,0.064,,
1296,structural-control-and-health-monitoring,633996,0.064,,
1297,studia-bas,633996,0.064,,
1298,style-manual-australian-government,633996,0.064,,
1299,surgical-clinics-of-north-america,633996,0.064,,
1300,surgical-neurology-international,633996,0.064,,
1301,surgical-pathology-clinics,633996,0.064,,
1302,svensk-exegetisk-arsbok,633996,0.064,,
1303,swedish-legal,633996,0.064,,
1304,systematic-and-applied-microbiology,633996,0.064,,
1305,systematic-biology,633996,0.064,,
1306,tabula,633996,0.064,,
1307,taxon,633996,0.064,,
1308,taylor-and-francis-chicago-author-date,633996,0.064,,
1309,taylor-and-francis-chicago-f,633996,0.064,,
1310,taylor-and-francis-council-of-science-editors-author-date,633996,0.064,,
1311,taylor-and-francis-harvard-x,633996,0.064,,
1312,taylor-and-francis-national-library-of-medicine,633996,0.064,,
1313,taylor-and-francis-numeric-q,633996,0.064,,
1314,technische-universitat-dresden-betriebswirtschaftslehre-logistik-author-date,633996,0.064,,
1315,technische-universitat-dresden-erziehungswissenschaften-author-date,633996,0.064,,
1316,technische-universitat-dresden-finanzwirtschaft-und-finanzdienstleistungen-author-date-with-short-titles,633996,0.064,,
1317,technische-universitat-dresden-finanzwirtschaft-und-finanzdienstleistungen-author-date,633996,0.064,,
1318,technische-universitat-dresden-finanzwirtschaft-und-finanzdienstleistungen-note,633996,0.064,,
1319,technische-universitat-dresden-historische-musikwissenschaft-note,633996,0.064,,
1320,technische-universitat-dresden-kunstgeschichte-note,633996,0.064,,
1321,technische-universitat-dresden-medienwissenschaft-und-neuere-deutsche-literatur-note,633996,0.064,,
1322,technische-universitat-dresden-medizin,633996,0.064,,
1323,teologia-catalunya,633996,0.064,,
1324,terra-nova,633996,0.064,,
1325,tetrahedron-letters,632245,0.064,,
1326,the-accounting-review,633996,0.064,,
1327,the-american-journal-of-cardiology,633996,0.064,,
1328,the-american-journal-of-gastroenterology,633996,0.064,,
1329,the-american-journal-of-human-genetics,633996,0.064,,
1330,the-american-journal-of-pathology,633996,0.064,,
1331,the-american-journal-of-psychiatry,633996,0.064,,
1332,the-american-midland-naturalist,633996,0.064,,
1333,the-american-naturalist,633996,0.064,,
1334,the-astrophysical-journal,633996,0.064,,
1335,the-auk,633996,0.064,,
1336,the-biological-bulletin,633996,0.064,,
1337,the-bone-and-joint-journal,633996,0.064,,
1338,the-british-journal-for-the-philosophy-of-science,633996,0.064,,
1339,the-british-journal-of-cardiology,633996,0.064,,
1340,the-british-journal-of-psychiatry,633996,0.064,,
1341,the-british-journal-of-sociology,633996,0.064,,
1342,the-canadian-geographer,633996,0.064,,
1343,the-canadian-journal-of-chemical-engineering,633996,0.064,,
1344,the-canadian-journal-of-psychiatry,633996,0.064,,
1345,the-chemical-society-of-japan,633981,0.064,,
1346,the-company-of-biologists,633996,0.064,,
1347,the-design-journal,633996,0.064,,
1348,the-embo-journal,633996,0.064,,
1349,the-faseb-journal,633996,0.064,,
1350,the-febs-journal,633996,0.064,,
1351,the-geological-society-of-america,633996,0.064,,
1352,the-geological-society-of-london,633996,0.064,,
1353,the-hastings-center-report,633996,0.064,,
1354,the-holocene,633996,0.064,,
1355,the-institute-of-electronics-information-and-communication-engineers,633996,0.064,,
1356,the-institution-of-engineering-and-technology,633996,0.064,,
1357,the-international-journal-of-developmental-biology,633996,0.064,,
1358,the-isme-journal,633996,0.064,,
1359,the-journal-of-adhesive-dentistry,633996,0.064,,
1360,the-journal-of-agricultural-science,633996,0.064,,
1361,the-journal-of-clinical-investigation,633996,0.064,,
1362,the-journal-of-comparative-neurology,633996,0.064,,
1363,the-journal-of-eukaryotic-microbiology,633996,0.064,,
1364,the-journal-of-foot-and-ankle-surgery,633996,0.064,,
1365,the-journal-of-hellenic-studies,633996,0.064,,
1366,the-journal-of-immunology,633996,0.064,,
1367,the-journal-of-infection-in-developing-countries,633996,0.064,,
1368,the-journal-of-juristic-papyrology,633996,0.064,,
1369,the-journal-of-modern-history,633996,0.064,,
1370,the-journal-of-molecular-diagnostics,633996,0.064,,
1371,the-journal-of-nervous-and-mental-disease,633996,0.064,,
1372,the-journal-of-neuropsychiatry-and-clinical-neurosciences,633996,0.064,,
1373,the-journal-of-neuroscience,633996,0.064,,
1374,the-journal-of-nuclear-medicine,633996,0.064,,
1375,the-journal-of-pain,633996,0.064,,
1376,the-journal-of-pathology,633996,0.064,,
1377,the-journal-of-peasant-studies,633996,0.064,,
1378,the-journal-of-physiology,633996,0.064,,
1379,the-journal-of-pure-and-applied-chemistry-research,633996,0.064,,
1380,the-journal-of-roman-studies,633996,0.064,,
1381,the-journal-of-the-acoustical-society-of-america,633996,0.064,,
1382,the-journal-of-the-torrey-botanical-society,633996,0.064,,
1383,the-journal-of-urology,633996,0.064,,
1384,the-journal-of-veterinary-medical-science,633996,0.064,,
1385,the-journal-of-wildlife-management,633996,0.064,,
1386,the-journals-of-gerontology-series-a,633996,0.064,,
1387,the-lancet,633996,0.064,,
1388,the-lichenologist,633996,0.064,,
1389,the-national-medical-journal-of-india,633996,0.064,,
1390,the-neuroscientist,633996,0.064,,
1391,the-new-england-journal-of-medicine,633996,0.064,,
1392,the-oncologist,633996,0.064,,
1393,the-open-university-a251,633996,0.064,,
1394,the-open-university-harvard,633996,0.064,,
1395,the-open-university-m801,633996,0.064,,
1396,the-optical-society,633996,0.064,,
1397,the-pan-african-medical-journal,633996,0.064,,
1398,the-plant-cell,633996,0.064,,
1399,the-plant-genome,633996,0.064,,
1400,the-plant-journal,633996,0.064,,
1401,the-review-of-financial-studies,633996,0.064,,
1402,the-rockefeller-university-press,633996,0.064,,
1403,the-saudi-journal-for-dental-research,633996,0.064,,
1404,the-scandinavian-journal-of-clinical-and-laboratory-investigation,633996,0.064,,
1405,the-university-of-western-australia-harvard,633996,0.064,,
1406,the-university-of-winchester-harvard,633996,0.064,,
1407,the-world-journal-of-biological-psychiatry,633996,0.064,,
1408,theologie-und-philosophie,633996,0.064,,
1409,theory-culture-and-society,633996,0.064,,
1410,thieme-german,633996,0.064,,
1411,thrombosis-and-haemostasis,633996,0.064,,
1412,thyroid,633996,0.064,,
1413,tijdschrift-voor-economische-en-sociale-geografie,633996,0.064,,
1414,tissue-engineering,633996,0.064,,
1415,toxicological-sciences,633996,0.064,,
1416,traffic-injury-prevention,633996,0.064,,
1417,traffic,633996,0.064,,
1418,transactions-of-the-american-philological-association,633996,0.064,,
1419,transactions-of-the-materials-research-society-of-japan,633996,0.064,,
1420,transboundary-and-emerging-diseases,633996,0.064,,
1421,transplantation,633996,0.064,,
1422,transportation-research-record,633996,0.064,,
1423,tree-physiology,633996,0.064,,
1424,trends-journals,633996,0.064,,
1425,tropical-animal-health-and-production,633996,0.064,,
1426,tsaqafah,633996,0.064,,
1427,turabian-fullnote-bibliography,633996,0.064,,
1428,twentieth-century-music,633996,0.064,,
1429,ugeskrift-for-laeger,633996,0.064,,
1430,ultrasound-in-medicine-and-biology,633996,0.064,,
1431,uludag-universitesi-sosyal-bilimler-enstitusu-author-date,633996,0.064,,
1432,uludag-universitesi-sosyal-bilimler-enstitusu-full-note-with-ibid,633996,0.064,,
1433,uludag-universitesi-sosyal-bilimler-enstitusu-full-note,633996,0.064,,
1434,uludag-universitesi-sosyal-bilimler-enstitusu-ilahiyat-fakultesi-full-note-with-ibid,633996,0.064,,
1435,uludag-universitesi-sosyal-bilimler-enstitusu-ilahiyat-fakultesi-full-note,633996,0.064,,
1436,unified-style-linguistics,633996,0.064,,
1437,united-nations-conference-on-trade-and-development,633996,0.064,,
1438,united-nations-framework-convention-on-climate-change,633996,0.064,,
1439,universidad-autonoma-cidudad-juarez-estilo-latino-humanistico,633996,0.064,,
1440,universidad-evangelica-del-paraguay,633996,0.064,,
1441,universidade-estadual-do-oeste-do-parana-programa-institucional-de-bolsas-de-iniciacao-cientifica,633996,0.064,,
1442,universidade-estadual-paulista-campus-de-dracena-abnt,633996,0.064,,
1443,universidade-federal-de-juiz-de-fora,633996,0.064,,
1444,universidade-federal-do-espirito-santo-abnt-initials,633996,0.064,,
1445,universidade-federal-do-espirito-santo-abnt,633996,0.064,,
1446,universita-cattolica-del-sacro-cuore,633996,0.064,,
1447,universita-di-bologna-lettere,633996,0.064,,
1448,universita-pontificia-salesiana-it,633996,0.064,,
1449,universita-pontificia-salesiana,633996,0.064,,
1450,universitas-negeri-semarang-fakultas-matematika-dan-ilmu-pengetahuan-alam,633996,0.064,,
1451,universitas-negeri-yogyakarta-program-pascasarjana,633996,0.064,,
1452,universitat-bremen-institut-fur-politikwissenschaft,633996,0.064,,
1453,universite-catholique-de-louvain-histoire,633996,0.064,,
1454,universite-de-montreal-apa,633996,0.064,,
1455,universite-de-montreal-faculte-de-musique,633996,0.064,,
1456,universite-de-picardie-jules-verne-ufr-de-medecine,633996,0.064,,
1457,universite-de-sherbrooke-departement-de-geomatique,633996,0.064,,
1458,universite-de-sherbrooke-faculte-d-education,633996,0.064,,
1459,universite-du-quebec-a-montreal,633996,0.064,,
1460,universite-laval-departement-des-sciences-historiques,633996,0.064,,
1461,universite-laval-departement-dinformation-et-de-communication,633996,0.064,,
1462,universite-laval-faculte-de-theologie-et-de-sciences-religieuses,633996,0.064,,
1463,universiteit-utrecht-onderzoeksgids-geschiedenis,633996,0.064,,
1464,universitetet-i-oslo-rettsvitenskap,629453,0.063,,
1465,university-college-dublin-school-of-history-and-archives,633996,0.064,,
1466,university-college-lillebaelt-apa,633996,0.064,,
1467,university-college-lillebaelt-harvard,633996,0.064,,
1468,university-college-lillebaelt-vancouver,633996,0.064,,
1469,university-for-the-creative-arts-figures,633509,0.064,,
1470,university-of-cambridge-faculty-of-history,633996,0.064,,
1471,university-of-gothenburg-apa-swedish-legislations,633996,0.064,,
1472,university-of-helsinki-faculty-of-theology,633996,0.064,,
1473,university-of-lincoln-harvard,633996,0.064,,
1474,university-of-new-england-australia-note,633996,0.064,,
1477,university-of-york-apa,633996,0.064,,
1478,university-of-york-chicago,633996,0.064,,
1479,university-of-york-harvard-archaeology,633996,0.064,,
1480,university-of-york-harvard-environment,633996,0.064,,
1481,university-of-york-harvard,633996,0.064,,
1482,university-of-york-ieee,633996,0.064,,
1483,university-of-york-mhra,633996,0.064,,
1484,university-of-york-mla,633996,0.064,,
1485,university-of-york-oscola,633996,0.064,,
1486,university-of-york-vancouver,633996,0.064,,
1487,university-of-zabol-fa,633996,0.064,,
1488,university-of-zabol,633996,0.064,,
1489,univerza-na-primorskem-fakulteta-za-vede-o-zdravju-apa,633996,0.064,,
1490,uppsala-universitet-historia,633996,0.064,,
1491,uppsala-universitet-institutionen-for-biologisk-grundutbildning,633996,0.064,,
1492,urban-geography,633996,0.064,,
1493,urban-habitats,633996,0.064,,
1494,urban-studies,633996,0.064,,
1495,urological-science,633996,0.064,,
1496,us-geological-survey,633996,0.064,,
1497,usda-forest-service-pacific-northwest-research-station,633996,0.064,,
1498,user-modeling-and-user-adapted-interaction,633996,0.064,,
1499,uspekhi-gerontologii,633996,0.064,,
1500,utah-geological-survey,633996,0.064,,
1501,vancouver-author-date,633996,0.064,,
1502,vancouver-brackets-no-et-al,633996,0.064,,
1503,vancouver-brackets-only-year-no-issue,633996,0.064,,
1504,vancouver-brackets,633996,0.064,,
1505,vancouver-fr-ca,633996,0.064,,
1506,vancouver-imperial-college-london,633996,0.064,,
1507,vancouver-superscript-brackets-only-year,633996,0.064,,
1508,vancouver-superscript-only-year,633996,0.064,,
1509,vancouver-superscript,633996,0.064,,
1510,vancouver,633996,0.064,,
1511,veterinary-medicine-austria,633996,0.064,,
1512,veterinary-microbiology,633996,0.064,,
1513,veterinary-pathology,633996,0.064,,
1514,veterinary-radiology-and-ultrasound,633996,0.064,,
1515,veterinary-record,633996,0.064,,
1516,vienna-legal,633996,0.064,,
1517,vietnam-ministry-of-education-and-training-en,633996,0.064,,
1518,vietnam-ministry-of-education-and-training-vi,633996,0.064,,
1519,vigiliae-christianae,633996,0.064,,
1520,vilnius-gediminas-technical-university,633996,0.064,,
1521,vita-latina-auteurs-anciens,633996,0.064,,
1522,vita-latina,633996,0.064,,
1523,vodohospodarske-technicko-ekonomicke-informace-en,633996,0.064,,
1524,vodohospodarske-technicko-ekonomicke-informace,633996,0.064,,
1525,water-alternatives,633996,0.064,,
1526,water-environment-research,633996,0.064,,
1527,water-sa,633996,0.064,,
1528,water-science-and-technology,633996,0.064,,
1529,waterbirds,633996,0.064,,
1530,west-european-politics,633996,0.064,,
1531,western-journal-of-emergency-medicine,633996,0.064,,
1532,westfalische-wilhelms-universitat-munster-medizinische-fakultat,633996,0.064,,
1533,wheaton-college-phd-in-biblical-and-theological-studies,633996,0.064,,
1534,who-europe-harvard,633996,0.064,,
1535,who-europe-numeric,633996,0.064,,
1536,wiley-vch-books,633996,0.064,,
1537,wireless-communications-and-mobile-computing,633996,0.064,,
1538,wirtschaftsuniversitat-wien-author-date,633996,0.064,,
1539,wirtschaftsuniversitat-wien-handel-und-marketing,633996,0.064,,
1540,wirtschaftsuniversitat-wien-wirtschaftspadagogik,633996,0.064,,
1541,wissenschaftlicher-industrielogistik-dialog,633996,0.064,,
1542,world-applied-sciences-journal,633996,0.064,,
1543,world-congress-on-engineering-asset-management,633996,0.064,,
1544,world-journal-of-gastroenterology,633996,0.064,,
1545,world-mycotoxin-journal,633996,0.064,,
1546,world-organisation-for-animal-health-scientific-and-technical-review,633996,0.064,,
1547,world-politcs,633996,0.064,,
1548,worlds-poultry-science-journal,633996,0.064,,
1549,xenotransplantation,633996,0.064,,
1550,yeast,633996,0.064,,
1551,zastosowania-komputerow-w-elektrotechnice,633996,0.064,,
1552,zdravniski-vestnik,633996,0.064,,
1553,zeitschrift-fur-allgemeinmedizin,633996,0.064,,
1554,zeitschrift-fur-deutsche-philologie,633996,0.064,,
1555,zeitschrift-fur-internationale-beziehungen,633996,0.064,,
1556,zeitschrift-fur-kunstgeschichte,633996,0.064,,
1557,zeitschrift-fur-padagogik,633996,0.064,,
1558,zeitschrift-fur-qualitative-forschung,633996,0.064,,
1559,zeitschrift-fur-religionswissenschaft-author-date,633996,0.064,,
1560,zeitschrift-fur-religionswissenschaft-note,633996,0.064,,
1561,zeitschrift-fur-soziologie,633996,0.064,,
1562,zeitschrift-fur-theologie-und-kirche,633996,0.064,,
1563,zeszyty-prawnicze-bas,633996,0.064,,
1564,zookeys,633996,0.064,,
1565,zoological-journal-of-the-linnean-society,633996,0.064,,
1566,zootaxa,633996,0.064,,
1567,zwitscher-maschine,633996,0.064,,
,,,,,
,TOTAL,991411100,100.000,, 
